tanggal,kurs,harga_jual_emas
2024-11-18,15848,1364265
2024-11-17,15888,1341403
2024-11-16,15888,1341403
2024-11-15,15888,1342894
2024-11-14,15873,1382157
2024-11-13,15782,1372217
2024-11-12,15705,1382157
2024-11-11,15705,1377684
2024-11-10,15705,1383151
2024-11-09,15705,1383151
2024-11-08,15705,1385636
2024-11-07,15705,1397564
2024-11-06,15705,1388618
2024-11-05,15705,1425396
2024-11-04,15705,1434839
2024-11-03,15705,1423408
2024-11-02,15705,1423408
2024-11-01,15705,1420923
2024-10-31,15705,1418438
2024-10-30,15732,1434342
2024-10-29,15760,1423408
2024-10-28,15729,1408498
2024-10-27,15629,1416947
2024-10-26,15629,1416947
2024-10-25,15629,1412474
2024-10-24,15593,1406510
2024-10-23,15620,1397067
2024-10-22,15560,1399552
2024-10-21,15465,1393588
2024-10-20,15466,1380666
2024-10-19,15466,1380666
2024-10-18,15466,1378678
2024-10-17,15516,1375696
2024-10-16,15536,1370229
2024-10-15,15555,1364265
2024-10-14,15581,1353828
2024-10-13,15144,1359295
2024-10-12,15144,1359295
2024-10-11,15144,1361283
2024-10-10,15144,1349852
2024-10-09,15144,1346870
2024-10-08,15144,1341900
2024-10-07,15144,1351840
2024-10-06,15144,1359792
2024-10-05,15144,1359792
2024-10-04,15144,1360786
2024-10-03,15144,1343888
2024-10-02,15144,1328978
2024-10-01,15144,1336433
2024-09-30,15144,1316056
2024-09-29,15138,1316056
2024-09-28,15138,1316056
2024-09-27,15138,1314565
2024-09-26,15171,1322020
2024-09-25,15092,1323511
2024-09-24,15186,1321523
2024-09-23,15191,1310589
2024-09-22,15100,1308601
2024-09-21,15100,1308601
2024-09-20,15100,1310589
2024-09-19,15287,1296673
2024-09-18,15350,1295679
2024-09-17,15338,1295182
2024-09-16,15405,1298164
2024-09-15,15405,1300152
2024-09-14,15405,1300152
2024-09-13,15405,1300649
2024-09-12,15473,1295679
2024-09-11,15473,1274308
2024-09-10,15473,1283254
2024-09-09,15473,1272817
2024-09-08,15473,1272320
2024-09-07,15473,1272320
2024-09-06,15473,1266853
2024-09-05,15473,1272817
2024-09-04,15473,1272817
2024-09-03,15473,1267847
2024-09-02,15473,1278284
2024-09-01,15473,1281266
2024-08-31,15473,1281266
2024-08-30,15473,1277787
2024-08-29,15409,1283254
2024-08-28,15476,1272320
2024-08-27,15509,1288721
2024-08-26,15380,1275799
2024-08-25,15554,1271326
2024-08-24,15554,1271326
2024-08-23,15554,1275302
2024-08-22,15579,1282757
2024-08-21,15456,1280769
2024-08-20,15480,1274308
2024-08-19,15591,1289715
2024-08-18,15716,1293194
2024-08-17,15716,1293194
2024-08-16,15716,1286733
2024-08-15,15687,1270829
2024-08-14,15691,1262380
2024-08-13,15885,1283751
2024-08-12,16294,1292200
2024-08-11,16294,1275302
2024-08-10,16294,1275302
2024-08-09,16294,1276296
2024-08-08,16294,1275302
2024-08-07,16294,1266853
2024-08-06,16294,1274308
2024-08-05,16294,1283751
2024-08-04,16294,1295679
2024-08-03,16294,1295679
2024-08-02,16294,1290212
2024-08-01,16294,1303631
2024-07-31,16294,1293194
2024-07-30,16320,1283751
2024-07-29,16286,1275302
2024-07-28,16294,1280272
2024-07-27,16294,1280272
2024-07-26,16294,1278781
2024-07-25,16268,1268344
2024-07-24,16224,1289218
2024-07-23,16204,1284248
2024-07-22,16228,1273811
2024-07-21,16199,1272817
2024-07-20,16199,1272817
2024-07-19,16199,1272817
2024-07-18,16160,1299655
2024-07-17,16129,1296673
2024-07-16,16203,1303631
2024-07-15,16174,1285739
2024-07-14,16394,1272817
2024-07-13,16394,1272817
2024-07-12,16394,1274308
2024-07-11,16394,1275302
2024-07-10,16394,1267350
2024-07-09,16394,1258404
2024-07-08,16394,1260889
2024-07-07,16394,1276793
2024-07-06,16394,1276793
2024-07-05,16394,1274805
2024-07-04,16394,1264368
2024-07-03,16394,1258404
2024-07-02,16394,1249955
2024-07-01,16394,1252937
2024-06-30,16394,1250452
2024-06-29,16394,1250452
2024-06-28,16394,1252937
2024-06-27,16421,1252937
2024-06-26,16435,1238027
2024-06-25,16379,1249458
2024-06-24,16431,1254925
2024-06-23,16458,1252937
2024-06-22,16458,1252937
2024-06-21,16458,1254925
2024-06-20,16420,1277290
2024-06-19,16368,1251943
2024-06-18,16374,1252440
2024-06-17,16374,1253434
2024-06-16,16374,1263374
2024-06-15,16374,1263374
2024-06-14,16374,1262380
2024-06-13,16286,1237530
2024-06-12,16251,1243991
2024-06-11,16251,1238524
2024-06-10,16251,1239021
2024-06-09,16251,1218147
2024-06-08,16251,1218147
2024-06-07,16251,1228087
2024-06-06,16251,1254925
2024-06-05,16251,1256913
2024-06-04,16251,1241506
2024-06-03,16251,1252937
2024-06-02,16251,1245482
2024-06-01,16251,1245482
2024-05-31,16251,1247470
2024-05-30,16253,1255422
2024-05-29,16160,1245979
2024-05-28,16095,1247967
2024-05-27,16064,1240512
2024-05-26,15995,1223614
2024-05-25,15995,1223614
2024-05-24,15995,1222620
2024-05-23,15995,1228584
2024-05-22,15995,1253931
2024-05-21,16024,1265859
2024-05-20,15980,1268344
2024-05-19,15978,1261386
2024-05-18,15978,1261386
2024-05-17,15978,1255919
2024-05-16,15944,1242500
2024-05-15,16070,1250452
2024-05-14,16131,1248464
2024-05-13,16085,1243494
2024-05-12,16276,1242003
2024-05-11,16276,1242003
2024-05-10,16276,1245979
2024-05-09,16276,1227093
2024-05-08,16276,1224111
2024-05-07,16276,1225105
2024-05-06,16276,1228584
2024-05-05,16276,1207710
2024-05-04,16276,1207710
2024-05-03,16276,1207710
2024-05-02,16276,1203734
2024-05-01,16276,1229578
2024-04-30,16276,1226596
2024-04-29,16249,1243991
2024-04-28,16222,1238027
2024-04-27,16222,1238027
2024-04-26,16222,1234548
2024-04-25,16208,1235045
2024-04-24,16161,1244985
2024-04-23,16244,1242997
2024-04-22,16224,1249955
2024-04-21,16280,1272320
2024-04-20,16280,1270829
2024-04-19,16280,1274805
2024-04-18,16177,1258404
2024-04-17,16240,1250949
2024-04-16,16176,1269338
2024-04-15,15873,1240512
2024-04-14,15873,1235542
2024-04-13,15873,1235542
2024-04-12,15873,1244488
2024-04-11,15873,1229081
2024-04-10,15873,1221626
2024-04-09,15873,1215165
2024-04-08,15873,1209201
2024-04-07,15873,1210195
2024-04-06,15873,1210195
2024-04-05,15873,1208704
2024-04-04,15873,1182363
2024-04-03,15873,1180872
2024-04-02,15873,1172920
2024-04-01,15873,1158507
2024-03-31,15873,1152046
2024-03-30,15873,1152046
2024-03-29,15873,1151549
2024-03-28,15873,1144591
2024-03-27,15853,1132166
2024-03-26,15797,1122723
2024-03-25,15795,1120735
2024-03-24,15773,1115268
2024-03-23,15773,1115268
2024-03-22,15773,1114771
2024-03-21,15662,1114274
2024-03-20,15727,1107813
2024-03-19,15712,1107813
2024-03-18,15672,1108807
2024-03-17,15624,1098867
2024-03-16,15624,1098867
2024-03-15,15624,1100358
2024-03-14,15582,1100855
2024-03-13,15576,1105825
2024-03-12,15715,1096382
2024-03-11,15715,1100358
2024-03-10,15715,1101849
2024-03-09,15715,1101849
2024-03-08,15715,1101849
2024-03-07,15715,1091909
2024-03-06,15715,1097376
2024-03-05,15715,1088927
2024-03-04,15715,1088927
2024-03-03,15715,1068550
2024-03-02,15715,1068550
2024-03-01,15715,1068550
2024-02-29,15715,1050161
2024-02-28,15673,1047179
2024-02-27,15655,1041215
2024-02-26,15635,1037239
2024-02-25,15589,1041215
2024-02-24,15589,1041215
2024-02-23,15589,1042706
2024-02-22,15630,1032269
2024-02-21,15658,1034754
2024-02-20,15659,1039724
2024-02-19,15630,1032766
2024-02-18,15654,1033760
2024-02-17,15654,1033760
2024-02-16,15654,1030778
2024-02-15,15606,1024317
2024-02-14,15585,1015868
2024-02-13,15585,1022329
2024-02-12,15803,1027299
2024-02-11,15803,1032766
2024-02-10,15803,1032269
2024-02-09,15803,1031275
2024-02-08,15803,1039724
2024-02-07,15803,1042706
2024-02-06,15803,1051652
2024-02-05,15803,1047179
2024-02-04,15803,1054634
2024-02-03,15803,1054634
2024-02-02,15803,1051155
2024-02-01,15803,1059604
2024-01-31,15803,1054634
2024-01-30,15796,1051652
2024-01-29,15825,1043700
2024-01-28,15829,1038233
2024-01-27,15829,1038233
2024-01-26,15829,1037239
2024-01-25,15767,1037239
2024-01-24,15719,1031772
2024-01-23,15656,1037239
2024-01-22,15627,1034257
2024-01-21,15628,1037736
2024-01-20,15628,1037736
2024-01-19,15628,1034754
2024-01-18,15630,1030778
2024-01-17,15639,1025808
2024-01-16,15592,1037239
2024-01-15,15555,1041215
2024-01-14,15439,1041215
2024-01-13,15439,1041215
2024-01-12,15439,1041215
2024-01-11,15439,1030778
2024-01-10,15439,1034754
2024-01-09,15439,1035251
2024-01-08,15439,1036742
2024-01-07,15439,1040221
2024-01-06,15439,1040221
2024-01-05,15439,1040221
2024-01-04,15439,1043203
2024-01-03,15439,1036245
2024-01-02,15439,1045688
2024-01-01,15439,1035251
2023-12-31,15439,1035251
2023-12-30,15439,1035251
2023-12-29,15439,1038233
2023-12-28,15416,1044694
2023-12-27,15414,1045688
2023-12-26,15489,1041215
2023-12-25,15489,1037239
2023-12-24,15489,1037239
2023-12-23,15489,1037239
2023-12-22,15489,1038730
2023-12-21,15533,1029287
2023-12-20,15512,1031275
2023-12-19,15506,1035748
2023-12-18,15516,1027299
2023-12-17,15503,1024814
2023-12-16,15503,1024814
2023-12-15,15503,1031772
2023-12-14,15493,1027796
2023-12-13,15629,1014377
2023-12-12,15484,1011892
2023-12-11,15484,1016365
2023-12-10,15484,1020838
2023-12-09,15484,1020838
2023-12-08,15484,1019844
2023-12-07,15484,1030281
2023-12-06,15484,1030778
2023-12-05,15484,1018353
2023-12-04,15484,1020838
2023-12-03,15484,1039724
2023-12-02,15484,1039724
2023-12-01,15484,1034257
2023-11-30,15484,1033263
2023-11-29,15384,1020838
2023-11-28,15450,1029287
2023-11-27,15527,1016365
2023-11-26,15587,1014874
2023-11-25,15587,1015371
2023-11-24,15587,1013880
2023-11-23,15593,1007916
2023-11-22,15584,1013383
2023-11-21,15436,1009407
2023-11-20,15419,992509
